post,tags
all phone numbers of one contact for startactivityforresult  a contact may have many phone numbers (mobile  home  ..). i want to enable the user to pick one of the phone numbers of a specific contact.    with this snippet i get the list of all phone numbers for each contact.   <pre><code>intent intent = new intent(intent.action_pick       contactscontract.commondatakinds.phone.content_uri); startactivityforresult(intent  phone_number_picked); </code></pre>   how can i list only the phone numbers of one contact     edit: i know how to get all phone numbers of a contact  that s not the point. i could put all phone numbers in a listview and get the user to pick one. but this functionality exists (mentioned above)  i just don t want all numbers  but only the phone numbers for one contact.,android
android missing gen file  my android gen file all of a sudden disappeared. i have tried using clean to regenerate it  but nothing is happening. i also tried restarting eclipse. any suggestions,android
android view outline - using a custom path  when i set view s outline as follows it works just fine:   <pre><code>view.setcliptooutline(true); view.setoutlineprovider(new viewoutlineprovider() {   @override   public void getoutline(view view  outline outline) {     outline.setroundrect(0  0  view.getwidth()  view.getheight()  16);   } }); </code></pre>   <a href= https://i.stack.imgur.com/w0dyj.png  rel= nofollow noreferrer ><img src= https://i.stack.imgur.com/w0dyj.png  alt= enter image description here ></a>    however  using a <code>path</code> has no effect. replace <code>setroundrect</code> with:   <pre><code>path path = new path(); path.addroundrect(   0  0  view.getwidth()  view.getheight()  16  16  path.direction.cw); outline.setconvexpath(path); </code></pre>   <a href= https://i.stack.imgur.com/5xadz.png  rel= nofollow noreferrer ><img src= https://i.stack.imgur.com/5xadz.png  alt= enter image description here ></a>    how to make the view clip to the path provided,android
tracking app installs from a self hosted server android  we are trying to track app installs for a self hosted android app using our own click tracking which is server 2 server.    what we do is create a tracking link which leads to the initiate the download and at the end of our download url generates a random subid/variable/no. to track each click.     what we need to do now is to collect this from the browser url and pass it back to our server from the app to be able to track what click generated the install for us.    challenge here is we are not able to collect that subid generated on each click that leads to the app download to be able to post it back. does anyone know how can we collect the subid &amp; post it back after the user installs and open the app,android
can i add view with many imageview to webview   i want to make webview which should contain many imageviews and they should be clickable   is it possible to add many imageviews on webviews    or like adding many imageviews on view and then adding that view to webview    i want to achieve this so i can use builtinzoom control of webview     is it possible       here is the code just to try if i can achieve this       <pre><code>@override protected void oncreate(bundle savedinstancestate) {      // todo auto-generated method stub     super.oncreate(savedinstancestate);       setcontentview(r.layout.main);       webview web= new webview(this);     view iv = (view) findviewbyid(r.id.view1);     imageview iv1= (imageview) findviewbyid(r.id.imageview1000);     iv1.setonclicklistener(this);     iv.setonclicklistener(this);     web.addview(iv);     web.getsettings().setbuiltinzoomcontrols(true);     web.getsettings().setsupportzoom(true);      setcontentview(web  new layoutparams(layoutparams.fill_parent layoutparams.fill_parent));               }  @override public void onclick(view v) {     // todo auto-generated method stub      toast msg= toast.maketext(this    i am in  the click   100);  }     </code></pre>   please provide good example if its possible,android
remove or consume pop up coming after sending sms  i have an android app which needs to keep  sending sms. my problem is that whenever we send a message we get a pop up showing (your sms charges and your curent talktime balance in  phone). when i send many sms these pop ups keep getting accumulated one over the other which is undesirable for me. i need a way out to either remove or somehow consume these pop ups. any ideas,android
permanently hide bottom bar  i am working on custom screen lock app where we need to full screen view hiding the top and bottom bars completely. the app is for android phones only and not tablets. i achieved this partially by using immersive mode but the issue is the bottom bar &amp; top appears for few seconds on touching bottom or top of the screen.    below is the code in my activity to do this :   <pre><code>final int flags = view.system_ui_flag_layout_stable                 | view.system_ui_flag_layout_hide_navigation                 | view.system_ui_flag_layout_fullscreen                 | view.system_ui_flag_hide_navigation                 | view.system_ui_flag_fullscreen                 | view.system_ui_flag_immersive_sticky; getwindow().getdecorview().setsystemuivisibility(flags); </code></pre>   i have tried various options but unable to hide the bars permanently. please advise.,android
android - add a listener to .setdonetext in calendardatepickerdialogfragment  i want to add a listener when the user click  ok  button in the calendar dialogue but i am facing a problem in writing it  i tried the following:   <pre><code>calendardatepickerdialogfragment calendardatepickerdialog = new calendardatepickerdialogfragment()                 .setondatesetlistener(this)                 .setpreselecteddate(date.get(calendar.year)  date.get(calendar.month)  date.get(calendar.day_of_month))                 .setdonetext(getresources().getstring(r.string.ok)  new view.onclicklistener() {                     @override                     public void onclick(view v) {                         radialtimepickerdialogfragment rtpd = new radialtimepickerdialogfragment()                                // .setontimesetlistener(this)                                 .setstarttime(10  10)                                 .setdonetext( yay )                                 .setcanceltext( nop );                         rtpd.show(fragmentmanager   );                     }                 }); </code></pre>   the problem is in the .setdonetext i don t know what is the error,android
can t get texting component of mit app inventor to work  i m trying to get the texting component of the mit app inventor 2 to work.     i am using a texting component and one block that looks like:    when textmessage.messagereceived do     call texttospeech1.speak message get messagetext    when i receive a text message  nothing happens.,android
creating a simple android gui  i can never do this right  so i m asking how is it done.    starting from the lower bar (phone or tablet in portrait mode) i want right above it a button. and right above the button a textview that expands from the upper edge of the button to the lower edge of the activity bar.     finally i want the textview to be scrollable horizontally and vertically so that i can read all the text but the view size cannot change.    i always end up  drawing  programatically because i can never understand the graphical interface for drawing nor the xml code.     this is the code i wrote (non-xml)   <pre><code>linearlayout drawgui(){      btnscan = new button(this);     btnscan.settext( scan );     tvlog = new textview(this);      horizontalscrollview hsv = new horizontalscrollview(this);     hsv.addview(tvlog  new layoutparams(layoutparams.match_parent  layoutparams.match_parent));     tvlog.sethorizontallyscrolling(true);     tvlog.setverticalscrollbarenabled(true);      linearlayout global = new linearlayout(this);     global.setlayoutparams(new layoutparams(layoutparams.match_parent  layoutparams.wrap_content));     global.setorientation(linearlayout.vertical);     global.addview(hsv new layoutparams(viewgroup.layoutparams.match_parent layoutparams.match_parent));     global.addview(btnscan);      return global;  } </code></pre>   the oncreate method is this:   <pre><code>protected void oncreate(bundle savedinstancestate) {     super.oncreate(savedinstancestate);     setcontentview(drawgui()); } </code></pre>   however this has 2 problems. first when there is too much text the button is pushed off the screen. and second it does not have a vertical scroll.    both xml and non xml solutions for what i want are welcomed.,android
spannablestring not works android  i have a layout <code>contact_info.xml</code>   that contains some info about the event of contacts  i want to get the text of <code>textview</code> in the layout and add extra text to it. the added extra texts font must be different from the <code>textview</code> font    i tried   but didn t succeeded     contactinfoactivity.java   <pre><code>typeface font=typeface.createfromasset(getassets()   crochetpattern.ttf );          string eventype=searchlistactivity.eventtype;         spannable sb = new spannablestring( eventype );         sb.setspan(new stylespan(font.bold)  0  eventype.length()  spannable.span_exclusive_exclusive);  txtvweventtype.settext(txtvweventtype.gettext()+    +sb); </code></pre>,android
using view in widget  i have created a custom view and drawing a bitmap image. how can i use this view in my widget..below is the code    <pre><code>public class mywidget extends appwidgetprovider {  public void onupdate(context context  appwidgetmanager appwidgetmanager  int[] appwidgetids) {     for(int i=0 ; i&lt;appwidgetids.length; i++) {          int appwidgetid = appwidgetids[i];          remoteviews views = new remoteviews(context.getpackagename()  r.layout.main);          views.setimageviewbitmap(   ... );          appwidgetmanager.updateappwidget(appwidgetid  views);      }  }  }    public class mycustomview extends view { bitmap img;  public mycustomview(context context) {     super(context);     img = bitmapfactory.decoderesource(context.getresources()  r.drawable.myimg);  }  protected void ondraw(canvas canvas) {      canvas.drawbitmap( img  0  0  new paint() );  } </code></pre>,android
